year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2011.0,6.0,21.0,172.0,25.0,1.0,2.0,0,0,0,1,0,41.901092395,-87.77533121200001
2002.0,7.0,27.0,208.0,30.0,5.0,3.0,1,0,0,0,0,41.830109680999996,-87.610058377
2010.0,1.0,2.0,2.0,53.0,5.0,1.0,0,0,1,0,0,41.880712231,-87.726882186
2003.0,2.0,24.0,55.0,9.0,0.0,1.0,0,0,0,1,0,41.909270224000004,-87.77420195200001
2012.0,5.0,28.0,149.0,22.0,0.0,2.0,1,0,0,0,0,41.869786389,-87.774281815
2004.0,8.0,12.0,225.0,33.0,3.0,3.0,0,1,0,0,0,41.932065105999996,-87.778427711
2007.0,10.0,21.0,294.0,42.0,6.0,4.0,0,0,0,1,0,41.874900775,-87.69464368
2006.0,9.0,16.0,259.0,37.0,5.0,3.0,0,0,0,1,0,41.875274553000004,-87.643043623
2011.0,6.0,5.0,156.0,22.0,6.0,2.0,1,0,0,0,0,41.796939201,-87.703651531
2004.0,10.0,23.0,297.0,43.0,5.0,4.0,1,0,0,0,0,41.900505589,-87.69928504399998
2014.0,9.0,28.0,271.0,39.0,6.0,3.0,1,0,0,0,0,41.764581624,-87.561127448
2007.0,4.0,8.0,98.0,14.0,6.0,2.0,0,0,0,1,0,41.880158988000005,-87.770210855
2006.0,7.0,5.0,186.0,27.0,2.0,3.0,0,1,0,0,0,41.782660858,-87.666719
2009.0,5.0,21.0,141.0,21.0,3.0,2.0,0,0,0,0,1,42.001382198,-87.664352579
2008.0,3.0,24.0,84.0,13.0,0.0,1.0,1,0,0,0,0,41.937121908,-87.67827796
2013.0,1.0,6.0,6.0,1.0,6.0,1.0,0,1,0,0,0,41.893639096,-87.667219045
2012.0,7.0,15.0,197.0,28.0,6.0,3.0,0,0,1,0,0,41.880399914,-87.75300855299999
2001.0,5.0,2.0,122.0,18.0,2.0,2.0,0,0,1,0,0,41.656404237,-87.604986577
2013.0,7.0,19.0,200.0,29.0,4.0,3.0,0,0,0,1,0,41.897329179,-87.649785007
2014.0,12.0,29.0,363.0,1.0,0.0,4.0,0,0,1,0,0,41.773425588,-87.66282236200001
2004.0,10.0,4.0,278.0,41.0,0.0,4.0,1,0,0,0,0,41.780918241,-87.654535186
2018.0,12.0,29.0,363.0,52.0,5.0,4.0,1,0,0,0,0,41.993015414,-87.656902805
2004.0,8.0,16.0,229.0,34.0,0.0,3.0,0,1,0,0,0,41.731147813,-87.555431813
2017.0,8.0,2.0,214.0,31.0,2.0,3.0,1,0,0,0,0,41.981847263,-87.657024704
2001.0,4.0,7.0,97.0,14.0,5.0,2.0,0,0,0,0,1,41.738734965999996,-87.67422672
2013.0,12.0,10.0,344.0,50.0,1.0,4.0,0,1,0,0,0,41.904338407,-87.666193145
2007.0,8.0,21.0,233.0,34.0,1.0,3.0,0,0,0,1,0,41.925129897,-87.66971739600002
2002.0,6.0,20.0,171.0,25.0,3.0,2.0,0,0,0,1,0,41.886815464,-87.628361716
2010.0,12.0,10.0,344.0,49.0,4.0,4.0,1,0,0,0,0,41.803667488,-87.590528166
2008.0,9.0,26.0,270.0,39.0,4.0,3.0,1,0,0,0,0,41.910272625,-87.691436633
2002.0,8.0,25.0,237.0,34.0,6.0,3.0,0,0,1,0,0,41.894951501,-87.75223774700001
2015.0,4.0,23.0,113.0,17.0,3.0,2.0,0,1,0,0,0,41.752332792,-87.593073663
2012.0,11.0,30.0,335.0,48.0,4.0,4.0,1,0,0,0,0,41.901835987,-87.725055051
2019.0,2.0,13.0,44.0,7.0,2.0,1.0,0,0,0,0,1,41.865541907,-87.76829424700001
2011.0,1.0,28.0,28.0,4.0,4.0,1.0,0,0,0,1,0,41.903168813,-87.678492886
2018.0,1.0,18.0,18.0,3.0,3.0,1.0,1,0,0,0,0,41.991560549,-87.655432099
2012.0,3.0,23.0,83.0,12.0,4.0,1.0,1,0,0,0,0,41.777112014000004,-87.767534995
2002.0,9.0,30.0,273.0,40.0,0.0,3.0,0,0,0,1,0,41.880362084,-87.75584743799999
2009.0,2.0,5.0,36.0,6.0,3.0,1.0,0,0,1,0,0,41.749307766,-87.662197551
2002.0,11.0,21.0,325.0,47.0,3.0,4.0,1,0,0,0,0,41.985322251,-87.66986506399998
2012.0,11.0,21.0,326.0,47.0,2.0,4.0,0,0,0,1,0,41.88421907,-87.766021794
2012.0,3.0,29.0,89.0,13.0,3.0,1.0,0,1,0,0,0,41.877820991,-87.738656138
2001.0,4.0,14.0,104.0,15.0,5.0,2.0,0,0,1,0,0,41.676275164,-87.620608776
2003.0,9.0,24.0,267.0,39.0,2.0,3.0,0,0,0,1,0,41.758421765,-87.57613306299999
2010.0,10.0,29.0,302.0,43.0,4.0,4.0,0,1,0,0,0,41.906684967,-87.635303024
2017.0,12.0,5.0,339.0,49.0,1.0,4.0,0,0,0,1,0,41.939086945,-87.727799589
